% 1. Title: Citation Classification
 % 
 % 2. Sources:
 %  (a) Creator: Lucas Lopes Resende
 %  (b) Donor: USPTO
 %  (c) Date: April 2020
 % 
 @RELATION Patent

@ATTRIBUTE class {"Communication & Textual Studies","Psychology & Cognitive Sciences","General Science & Technology","Social Sciences","Physics & Astronomy","Built Environment & Design","Enabling & Strategic Technologies","Visual & Performing Arts","Biology","Information & Communication Technologies","Agriculture Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Mathematics & Statistics","Engineering","Clinical Medicine","Chemistry","Historical Studies","Field English","Economics & Business ","General Arts Humanities & Social Sciences","Biomedical Research","Philosophy & Theology"}
@ATTRIBUTE citation String

@DATA
"Engineering","The standard covers a wide range of medical equipment management elements including procurement acceptance testing maintenance electrical safety and preventive maintenance testing and decommissioning"
"Engineering"," Casting Process Types of Casting Process Casting Process Tips Selecting Casting Process Casting Process Helpswwwthemetalcastingcom Retrieved December"
"Engineering","Fairlie Gerard Cayley Elizabeth The life of a genius Hodder and Stoughton"
"Engineering","Frederick Taylor is generally credited as being the father of the Industrial Engineering discipline He earned a degree in mechanical engineering from Steven's University and earned several patents from his inventions His books Shop Management and The Principles of Scientific Management which were published in the early s were the beginning of Industrial Engineering Improvements in work efficiency under his methods was based on improving work methods developing of work standards and reduction in time required to carry out the work With an abiding faith in the scientific method Taylor's contribution toTime Studysought a high level of precision and predictability for manual tasks"
"Engineering","The elevator example is commonly used in programming texts such as Unified modeling language"
"Engineering","Walter G Whitman August Paul Peck Whitman Peck Physics American Book Company p OCLC"
"Engineering","Several manufacturers have slightly varied development cycles for designing an Automobile but in practice these are the following"
"Engineering","Frood Arran February Riddle of 'Baghdad's batteries' BBC retrieved "
"Engineering","Genetically engineered mice expressing green fluorescent protein which glows green under blue light The central mouse is wild type"
"Engineering","Thermodynamics is an applied science used in several branches of engineering including mechanical and chemical engineering At its simplest thermodynamics is the study of energy its use and transformation through a system Typically engineering thermodynamics is concerned with changing energy from one form to another As an example automotive engines convert chemical energy enthalpy from the fuel into heat and then into mechanical work that eventually turns the wheels"
"Engineering","R Gazzinelli R L Moreira W N Rodrigues Physics and Industrial Development Bridging the Gap World Scientific p"
"Engineering","Robots are used extensively in industrial engineering They allow businesses to save money on labor perform tasks that are either too dangerous or too precise for humans to perform them economically and to ensure better quality Many companies employ assembly lines of robots especially in Automotive Industries and some factories are so robotized that they can run by themselves Outside the factory robots have been employed in bomb disposal space exploration and many other fields Robots are also sold for various residential applications from recreation to domestic applications"
"Engineering","Electricredirects here For other uses see Electric disambiguation"
"Engineering","Harvard Mechanical Engineering Page Archived March at the Wayback Machine Harvardedu Accessed June"
"Engineering","§Bioelectrogenesis in microbial life is a prominent phenomenon in soils and sediment ecology resulting from anaerobic respiration The microbial fuel cell mimics this ubiquitous natural phenomenon"
"Engineering","Geologists also use methods to determine the absolute age of rock samples and geological events These dates are useful on their own and may also be used in conjunction with relative dating methods or to calibrate relative methods"
"Engineering","a b Patterson Walter C Transforming Electricity The Coming Generation of Change Earthscan pp ISBN X"
"Engineering","Man panning for gold on the Mokelumne Harper's Weekly How We Got Gold in California"
"Engineering","Geographic information systems GIS spatial database management and geographic information technology GeoIT"
"Engineering","Emmons SF December Letter to the Editor The term 'geology' Science nd series  –"
"Engineering","Safety engineering Engineering discipline which assures that engineered systems provide acceptable levels of safety"
"Engineering"," Robert Plonsey Pfizer Pratt Professor EmeritusFaculty Duke BME Fdsdukeedu"
"Engineering","As stated by Fung et al in the revision to the classic engineering text Foundations of Solid Mechanics"
"Engineering","Unemployment is becoming a problem in the United States due to the exponential growth rate of automation and technology According to Kim Kim and Lee ,A seminal study by Frey and Osborne in predicted that % of the examined occupations in the United States faced a high risk of decreased employment rate within the next years as a result of computerizationp As many jobs are becoming obsolete which is causing job displacement one possible solution would be for the government to assist with a universal basic income UBI program UBI would be a guaranteed non taxed income of around $ dollars per month paid to all US citizens over the age of UBI would help those who are displaced take on jobs that pay less money and still afford to get by It would also give those that are employed with jobs that are likely to be replaced by automation and technology extra money to spend on education and training on new demanding employment skills UBI however should be seen as a short term solution because it doesn't fully address the issue of income inequality which will be exacerbated by job displacement"
"Engineering","Electrochemistry has always been an important part of electricity From the initial invention of the Voltaic pile electrochemical cells have evolved into the many different types of batteries electroplating and electrolysis cells Aluminium is produced in vast quantities this way and many portable devices are electrically powered using rechargeable cells"
