Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field
Massively parallel processing (MPP) large-scale combination of time series data,"10,339,235",H04L 67/00 (20130101); G06F 17/18 (20130101); G06F 30/20 (20200101); G06K 9/6239 (20130101); G06F 2111/10 (20200101); H04L 67/12 (20130101),G06F 17/18 (20060101); G06F 17/50 (20060101)**Please see images for: ( Certificate of Correction ) **,,Methods and apparatus are provided for performing massively parallel processing (MPP) large-scale combinations of time series data. A given working compute node in a distributed computing environment obtains a given group of time series data of a plurality of groups of time series data; generates a measurement matrix for the given group based on a plurality of selected time series and a plurality of time lags of the selected time series; processes the measurement matrix to generate a first linear model with a predefined number of first independent selected variables; assigns a score to each first independent selected variable; and provides the first independent selected variables and assigned scores to a master compute node that ranks the first independent selected variables for all groups from all working computing nodes according to assigned scores; selects a predefined number of second independent selected variables based on a final rank to create a final group of time series; and processes the final group of time series to generate a final linear model.,,,"Dutta, Sanghamitra, and Arijit De. ""LAMP: A Locally Adapting Matching Pursuit Framework for Group Sparse Signatures in Ultra-Wide Band Radar Imaging."" arXiv preprint arXiv:1411.4020 (2014). pp. 1-14. cited by examiner . Sundman, Dennis, Saikat Chatterjee, and Mikael Skoglund. ""Distributed greedy pursuit algorithms."" signal Processing 105 (2014). pp. 298-315. cited by examiner . Wang, Rui, et al. ""A reducing iteration orthogonal matching pursuit algorithm for compressive sensing."" Tsinghua Science and Technology 21.1 (2016). pp. 71-79. cited by examiner . Yang, Bin, and Shutao Li. ""Pixel-level image fusion with simultaneous orthogonal matching pursuit."" Information fusion 13.1 (2012). pp. 10-19. cited by examiner . Dutta, Sanghamitra, and Arijit De. ""LAMP: A Locally Adapting Matching Pursuit Framework for Group Sparse Signatures in Ultra-Wide Band Radar Imaging."" arXiv preprint arXiv:1411.4020 (2014). pp. 1-14. (Year: 2014). cited by examiner . Sundman, Dennis, Saikat Chatterjee, and Mikael Skoglund. ""Distributed greedy pursuit algorithms."" signal Processing 105 (2014). pp. 298-315. (Year: 2014). cited by examiner . Wang, Rui, et al. ""A reducing iteration orthogonal matching pursuit algorithm for compressive sensing."" Tsinghua Science and Technology 21.1 (2016). pp. 71-79. (Year: 2016). cited by examiner . Yang, Bin, and Shutao Li. ""Pixel-level image fusion with simultaneous orthogonal matching pursuit."" Information fusion 13.1 (2012). pp. 10-19. (Year: 2012). cited by examiner . Weinstein, A. J., & Wakin, M. B. (Aug. 2012). Online search orthogonal matching pursuit. In Statistical Signal Processing Workshop (SSP), 2012 IEEE. pp. 584-587. (Year: 2012). cited by examiner . Raksuntorn, N., Du, Q., Younan, N., & Li, W. (Jul. 2014). Orthogonal matching pursuit for nonlinear unmixing of hyperspectral imagery. In Signal and Information Processing (ChinaSIP), 2014 IEEE China Summit & International Conference on. pp. 157-161. (Year: 2014). cited by examiner . Amirhossein Jofreh, ""Parallel Implementation of Orthogonal Matching Pursuit OpenCL"", Eastern Mediterranean University, Aug. 2013 http://i-rep.emu.edu.tr:8080/jspui/bitstream/11129/1384/1/JofrehAmirhosse- in.pdf. cited by applicant . Pati, Y. C., Rezaiifar, R., & Krishnaprasad, P. S. (1993). Orthogonal matching pursuit: recursive function approximation with applications to wavelet decomposition. In Proceedings of 27th Asilomar Conference on Signals, Systems and Computers (pp. 40-44). Pacific Grove, CA: IEEE Comput. Soc. Press. doi:10.1109/ACSSC.1993.342465. cited by applicant."

Bandwidth management of memory through containers,"10,338,824",G06F 3/0659 (20130101); G06F 9/455 (20130101); G06F 3/0613 (20130101); G06F 3/0673 (20130101),"G06F 3/06 (20060101)Battaiola Kreling; Daniel (Sao Paulo, BR), Camarda Silva Folco; Rafael (Sao Paulo, BR), Leitao; Breno H. (Araraquara, BR), Martins Rodrigues; Mauro Sergio (Sao Paulo, BR)",INTERNATIONAL BUSINESS MACHINES CORPORATION,"Embodiments of the present invention disclose a method, computer program product, and system for managing memory bandwidth usage in software containers. Software container properties are received from a software container engine. In response to detecting the execution of one or more software containers by the software container engine, a monitoring layer is generated. At periodic time intervals, the generated monitoring layer monitors a memory bandwidth use value associated with each of the executed software containers. For each periodic time interval, an average memory use value is calculated, associated with each executed software container. In response to the calculated average memory use value being above a threshold associated with a monitored software container of the executed containers, the monitored software container is suspended for a suspend time duration. The suspended monitored software container is reactivated based on the suspend time duration expiring.",International Business Machines Corporation,US,"Singh et al., ""Containers: Challenges with the memory resource controller and its performance"", Proceedings of the Linux Symposium, vol. Two, Jun. 27-30, 2007, Ottawa, Ontario Canada, Ideahttps://www.kernel.org/doc/ols/2007/ols2007v2-pages-209-222.pdf., pp. 209-222. cited by applicant . Felter et al., ""IBM Research Report an Updated Performance Comparison of Virtual Machines and Linux Containers"", RC25482 (AUS1407-001) Jul. 21, 2014, Computer Science, http://domino.research.ibm.com/library/cyberdig.nsf/papers/0929052195DD81- 9C85257D2300681E7B/$File/rc25482.pdf, 12 pages. cited by applicant . Moscibroda et al., ""Memory Performance Attacks: Denial of Memory Service in Multi-Core Systems"", Published in USENIX Security 2007: 16th USENIX Security Smposium, Boston, Massachusetts, USA, pp. 1-18. cited by applicant . Goldmann, ""Resource management in Docker"", BLOG, Sep. 11, 2014, https://goldmann.pl/blog/2014/09/11/resourcemanagementindocker/#_limiting- _read_write_speed, pp. 1-19. cited by applicant . Mell et al., ""The NIST Definition of Cloud Computing"", Recommendations of the National Institute of Standards and Technology, Special Publication 800-145, Sep. 2011, 7 pages. cited by applicant . Nguyen, ""Introduction to Memory Bandwidth Monitoring in the Intel.RTM. Xeon.RTM. Processor E5 v4 Family"", Updated Feb. 11, 2016, Developer Zone, https://software.intel.com/en-us/articles/introduction-to-memory-bandwidt- h-monitoring, 7 pages. cited by applicant . Netto et al., ""Evaluate performance for Linux on POWER"", Analyze performance using Linix tools, Published on Jun. 12, 2012, developerWorks.RTM., 19 pages. cited by applicant . Prashanth, ""Control Groups"", IIT-B, Jun. 7, 2017, 10 pages. cited by applicant."

"Optical head mounted display, television portal module and methods for controlling graphical user interface","10,338,776",G06F 3/011 (20130101); G06F 3/04842 (20130101); G02B 27/017 (20130101); G06F 3/0482 (20130101); G02B 27/0179 (20130101); G06F 3/04812 (20130101); G06F 3/017 (20130101); G02B 27/0172 (20130101); H04N 5/44582 (20130101); G06F 3/012 (20130101); H04N 5/4403 (20130101); G06F 1/163 (20130101); G06F 3/0481 (20130101); G06F 3/013 (20130101); G02B 2027/0138 (20130101); H04N 2005/4425 (20130101); G02B 2027/014 (20130101); G02B 2027/0187 (20130101); H04N 2005/4428 (20130101); G02B 2027/0178 (20130101),"G06F 3/048 (20130101); H04N 5/44 (20110101); H04N 5/445 (20110101); G06F 1/16 (20060101); G06F 3/0484 (20130101); G06F 3/01 (20060101); G02B 27/01 (20060101); G06F 3/0481 (20130101); G06F 3/0482 (20130101)Andersson; Ola (Spanga, SE), Oliveira, Jr.; Narciso (Sao Bernardo do Campo, BR), Garay; Pablo Esteban (Madrid, ES), Vanegas; Gabriel (Sao Paulo, BR)",Telefonaktiebolaget LM Ericsson (publ),"An Optical Head Mounted Display (OHMD) and a method therein for controlling a Graphical User Interface (GUI) as well as a television portal module and a method therein for enabling the OHMD to control the GUI displayed by the television portal module. The television portal module displays a GUI element for enabling the OHMD to enter into a mode for controlling the GUI. The OHMD displays, at a display of the OHMD, a sight element for aiming, by the user, at the GUI element. The OHMD enters into a mode for controlling the GUI, when detecting that the sight element is aimed at the GUI element by means of detecting a movement of a head of a user or an eye of a user. The television portal module receives, from the OHMD, a command for controlling the GUI. Corresponding computer programs and computer program products are also disclosed.",TELEFONAKTIEBOLAGET LM ERICSSON (PUBL),SE,"International Search Report, Application No. PCT/SE2013/051467, dated Sep. 4, 2014. cited by applicant . Written Opinion of the International Searching Authority, Application No. PCT/SE2013/051467, dated Sep. 4, 2014. cited by applicant . Communication with Supplementary European Search Report, EP Application No. 13898695.5, dated Nov. 23, 2016. cited by applicant."

Methods for controlling a compressor with double suction for refrigeration systems,"10,337,768",F25B 5/02 (20130101); F25B 49/022 (20130101); F25B 41/043 (20130101); F04B 49/00 (20130101); F25B 2400/0409 (20130101); F25B 2600/0251 (20130101); F25B 2400/0401 (20130101); F25B 2600/2521 (20130101); F25D 2700/10 (20130101); F25B 2600/2511 (20130101); F25B 2700/21171 (20130101),"F25B 5/02 (20060101); F04B 49/00 (20060101); F25B 49/02 (20060101); F25B 41/04 (20060101)Maass; Gunter Johann (Joinville, BR), Lilie; Dietmar Erich Bernhard (Joinville, BR), Schwarz; Marcos Guilherme (Joinville, BR)",Whirlpool S.A.,"A method for controlling and adjusting the refrigeration capacities of a refrigeration system equipped with a double suction compressor, the refrigeration system including first and second compartments to be refrigerated and including first and second evaporators respectively positioned in the first and second compartments. The double suction compressor is controlled to alternate its compression capacity with high-frequency between first and second refrigerant suction lines respectively associated with the first and second evaporators such that the first and second compartments are simultaneously cooled. The compression capacity of the compressor is applied to the first and second suction lines based upon respective first and second duty cycles that together account for 100 percent of the compression capacity of the compressor. First and second temperature sensors are associated with the first and second compartments and provide temperature values that are used to select the first and second duty cycles.",Embraco Industria de Compressores e Solucoes em Refrigeracao Ltda.,BR,No other references field

Zero backlash pre-damper to main damper attachment system,"10,337,565",F16D 13/64 (20130101); F16F 15/1238 (20130101); F16F 15/1216 (20130101); F16D 13/58 (20130101); F16F 2236/08 (20130101); F16D 2300/22 (20130101); F16D 13/68 (20130101),"F16F 15/123 (20060101); F16D 13/68 (20060101); F16D 13/58 (20060101); F16F 15/121 (20060101); F16D 13/64 (20060101)Pereira; Luiz Filipe Silva (Indaiatuba, BR), Bassett; Michael Lee (Auburn, IN)",Eaton Corporation,"A driven damper assembly, comprises a first main-damper cover plate comprising an inclined portion. The inclined portion comprises a notch. A first plane passes through the first pre-damper cover plate. A second plane passes through the first main-damper cover plate and is parallel to the first plane. The notch comprises a first wall and a second wall. The first wall is not parallel to the second wall. The inclined portion extends away from the second plane at an angle greater than zero degrees away from the second plane and less than ninety degrees away from the second plane. The first pre-damper cover plate comprises a tab with a first portion extending outwardly at an angle greater than zero degrees away from the first plane and less than ninety degrees away from the first plane, wherein the tab engages the notch at the first wall and the second wall.",Eaton Intelligent Power Limited,US,No other references field

Process for preparing a modified ethylene-based polymer using a hydrocarbon initiator,"10,336,893",C08L 23/0815 (20130101); C08L 23/06 (20130101); C08L 23/06 (20130101); C08L 23/0815 (20130101); C08L 2023/42 (20130101),"C08L 23/06 (20060101); C08L 23/08 (20060101); C08L 23/26 (20060101)Karjala; Teresa (Lake Jackson, TX), Ewart; Sean (Pearland, TX), Demirors; Mehmet (Pearland, TX), Mazzola; Nicolas C. (Jundiai, BR)",Dow Global Technologies LLC,"The invention provides a process to form a second composition comprising a modified ethylene-based polymer, the process comprising the step of contacting under thermal treatment conditions a first composition comprising a first ethylene-based polymer, and the following: (A) at least one carbon-carbon (C--C) free radical initiator; and (B) at least one free radical initiator other than a C--C free radical initiator of (A) (a non-C--C free radical initiator). The melt strength of the second composition is typically at least 15% or greater than the melt strength of the first composition. The second composition typically has a gel content less than or equal to 40.",Dow Global Technologies LLC,US,No other references field

Aircraft stall warning/protection with time-varying maximum angle of attack settings for icing conditions,"10,336,463",B64C 13/16 (20130101); B64D 43/02 (20130101); B64C 13/503 (20130101); B64D 45/00 (20130101); G05D 1/0816 (20130101); B64D 15/22 (20130101),"G08B 23/00 (20060101); B64C 13/16 (20060101); G05D 1/08 (20060101); B64D 15/22 (20060101); B64D 43/02 (20060101); B64C 13/50 (20060101)Ribeiro; Murilo Pinto (Sao Jose dos Campos, BR), Zambrano; Gustavo Jose (Sao Jose dos Campos, BR)",Embraer S.A.,"This non-limiting technology proposes to modify the maximum angle of attack setting (.alpha..sub.setting) of the Stall Protection or Stall Warning Systems continuously or continually, according to the elapsed time since icing is first detected and/or the deicing system was activated. A changing maximum angle of attack setting maintains approximately the same angle-of-attack margin to the stall angle-of-attack by taking into account improvements in the stall angle of attack due to inflight icing removal and icing prevention by operation of an inflight deicing system. The aircraft flying with an angle of attack closer to the critical angle of attack is capable of producing a higher coefficient of lift.",Embraer S.A.,BR,No other references field
